iter	Passed	Remaining
0	386	386184
1	388	193632
2	389	129375
3	390	97237
4	391	77959
5	393	65159
6	394	55978
7	395	49084
8	397	43723
9	399	39553
10	402	36164
11	403	33231
12	404	30736
13	406	28599
14	407	26746
15	408	25122
16	409	23702
17	411	22429
18	415	21451
19	416	20426
20	418	19493
21	419	18642
22	420	17864
23	421	17151
24	422	16495
25	424	15892
26	425	15332
27	427	14834
28	428	14363
29	430	13910
30	431	13485
31	432	13087
32	433	12714
33	435	12379
34	437	12048
35	438	11734
36	439	11436
37	440	11153
38	442	10905
39	443	10655
40	445	10417
41	446	10187
42	447	9966
43	449	9756
44	450	9556
45	451	9363
46	452	9180
47	454	9006
48	455	8836
49	456	8675
50	457	8519
51	459	8368
52	460	8223
53	461	8083
54	462	7953
55	464	7824
56	465	7700
57	466	7579
58	467	7462
59	469	7348
60	470	7238
61	471	7133
62	472	7030
63	473	6931
64	475	6834
65	476	6740
66	477	6650
67	478	6554
68	479	6469
69	480	6386
70	481	6305
71	483	6226
72	484	6149
73	485	6074
74	486	6001
75	487	5930
76	488	5861
77	490	5800
78	492	5738
79	493	5675
80	494	5612
81	496	5553
82	498	5509
83	500	5461
84	502	5409
85	504	5358
86	505	5300
87	506	5246
88	507	5195
89	508	5144
90	510	5094
91	511	5045
92	512	4996
93	513	4950
94	515	4913
95	517	4868
96	518	4824
97	519	4781
98	520	4739
99	522	4698
100	523	4657
101	523	4612
102	525	4572
103	526	4537
104	527	4500
105	530	4470
106	531	4439
107	535	4419
108	536	4384
109	537	4349
110	538	4315
111	539	4281
112	541	4247
113	542	4214
114	545	4198
115	547	4172
116	548	4142
117	550	4112
118	551	4083
119	552	4054
120	554	4024
121	555	3995
122	555	3963
123	557	3935
124	560	3922
125	563	3908
126	564	3881
127	565	3852
128	566	3826
129	567	3800
130	569	3775
131	570	3751
132	571	3727
133	575	3716
134	577	3698
135	578	3676
136	580	3653
137	581	3629
138	582	3606
139	583	3584
140	584	3562
141	586	3540
142	589	3530
143	591	3518
144	593	3497
145	594	3476
146	595	3457
147	597	3437
148	598	3416
149	599	3397
150	600	3377
151	601	3357
152	605	3350
153	606	3332
154	607	3314
155	609	3295
156	610	3278
157	611	3260
158	612	3242
159	614	3224
160	615	3207
161	616	3190
162	619	3179
163	620	3163
164	621	3146
165	623	3130
166	625	3118
167	626	3104
168	628	3088
169	629	3072
170	630	3057
171	633	3048
172	635	3038
